Altium Designer Pick and Place Locations
G:\Git\R32-Micro\Source\Project Outputs for PicoPrint\Pick Place for PicoPrint.csv

========================================================================================================================
File Design Information:

Date:       23/08/18
Time:       22:02
Revision:   74b5c5778215f4dcd26128795eecb0e51b925c7b
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P37","X_STOP_SEL","TopLayer","HDR1X3-HEADER","26.7900","57.2500","180","Header, 3-Pin"
"C2","CapC-0402-100nF","TopLayer","CAP_1005-0402","27.0100","54.2600","360","Capacitor (SMD Ceramic)"
"D1","Dual Schottky 100mA 30V SOT523","TopLayer","SOT523","24.6000","53.9000","0","Diode (SMD)"
"P2","X-STOP","TopLayer","HDR1X3-HEADER","26.7900","62.3500","360","Header, 3-Pin"
"R1","Res-0402-4K7","TopLayer","RESC1005X40N","29.2880","54.2600","180","Resistor"
"C93","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","26.7903","45.2283","180","Capacitor (SMD Polarised Electrolytic)"
"C36","CapC-0402-100nF-50V","TopLayer","CAP_1005-0402","12.2750","48.0250","180","Capacitor (SMD Ceramic)"
"C72","CapC-0402-100nF","TopLayer","CAP_1005-0402","10.0500","51.8250","180","Capacitor (SMD Ceramic)"
"R58","Res-0805-0R11-0.333W","TopLayer","RES_2012-0805","10.5500","50.3250","0","Resistor"
"LD10","LED-0402","TopLayer","LED_0402","54.4830","17.9070","270","LED (SMD)"
"Q9","AO3400A","TopLayer","SOT23-3_New","107.1880","13.9700","270","N-CH MOSFET 30V 5.7A SOT23"
"Q8","AO3400A","TopLayer","SOT23-3_New","73.6450","29.7180","270","N-CH MOSFET 30V 5.7A SOT23"
"C112","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","86.6140","17.2593","360","Capacitor (SMD Polarised Electrolytic)"
"XT1","Ceramic Resonator CSTCE12M0G55-R0","TopLayer","CERALOCK_CSTCE_G","41.9900","21.9000","270","Ceramic Resonator"
"U11","AP2112K-3.3TRG1","TopLayer","SOT23-5","90.6810","34.6390","270","3.3V LDO Regulator"
